Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
1	ngc2158_30_hi_g-0001_stack_wcs.fits	1	UCAC4 572-024352	13.7607	3.966	2437	*	0.0064	0.0072	06h08m03.503s	"24°14'55.335"""	233.066	2003.921	472.075	150.9	13.716	0.0447	61919.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
2	ngc2158_30_hi_g-0001_stack_wcs.fits	2	UCAC4 572-024275	14.0855	3.892	1828	*	0.0073	0.0087	06h07m49.409s	"24°14'30.357"""	526.545	1979.532	457.005	124.5	14.12	-0.0345	45911.7	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
3	ngc2158_30_hi_g-0001_stack_wcs.fits	3	LAMOST J060710.28+235723.2	14.3061	4.746	1178.34	*	0.0084	0.0101	06h07m10.298s	"23°57'22.922"""	1406.058	463.741	467	107.9	14.248	0.0581	37469.4	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
4	ngc2158_30_hi_g-0001_stack_wcs.fits	4	UCAC4 571-024771	13.5919	4.31	2658.61	*	0.0058	0.0065	06h07m49.337s	"24°08'36.501"""	551.416	1444.506	474.892	166.5	13.731	-0.1391	72331.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
5	ngc2158_30_hi_g-0001_stack_wcs.fits	5	UCAC4 571-024203	15.5701	4.353	386.437	*	0.0154	0.0245	06h07m03.927s	"24°01'38.476"""	1520.842	856.412	456.02	44.3	15.639	-0.0689	11697.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
6	ngc2158_30_hi_g-0001_stack_wcs.fits	6	UCAC4 570-024314	13.3268	5.175	2675.79	*	0.0059	0.0057	06h07m32.145s	"23°53'16.639"""	969.18	70.061	511.025	192.1	13.187	0.1398	92341.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
7	ngc2158_30_hi_g-0001_stack_wcs.fits	7	UCAC4 571-024162	13.494	6.288	3112.47	*	0.0057	0.006	06h06m53.611s	"24°04'16.067"""	1723.989	1104.877	475	180.4	13.749	-0.255	82320.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1	
Zero-PT	21.37376503																									
Zero-PTERROR	5.48E-02																									
Unkown Stars																										
#    	Image	Index 	Name  	Mag   	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight					
1	ngc2158_30_hi_g-0001_stack_wcs.fits	8	Mira-8	12.9275	0.0045	0.0044	06h07m02.010s	"24°10'14.009"""	1525.439	1637.82	483.357	246	0	138706	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
2	ngc2158_30_hi_g-0001_stack_wcs.fits	9	Mira-9	13.0921	0.0614	0.0048	06h07m13.970s	"24°08'55.245"""	1283	1507	470.757	225.7	0	119202	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
3	ngc2158_30_hi_g-0001_stack_wcs.fits	10	Mira-10	14.5886	0.0091	0.0118	06h07m54.811s	"24°10'12.169"""	431.686	1583.956	461.512	92.4	0	30038	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
4	ngc2158_30_hi_g-0001_stack_wcs.fits	11	Mira-11	12.8163	0.0068	0.0042	06h07m34.672s	"24°13'32.786"""	835.525	1906.599	482.925	260.9	0	153675	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
5	ngc2158_30_hi_g-0001_stack_wcs.fits	12	Mira-12	14.7624	0.0099	0.0131	06h07m29.824s	"24°12'06.641"""	941.681	1781.013	447.995	82.7	0	25595.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
6	ngc2158_30_hi_g-0001_stack_wcs.fits	13	Mira-13	14.8593	0.0105	0.0142	06h07m36.639s	"24°00'34.706"""	846.661	728.137	467.994	76.6	0	23408.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
7	ngc2158_30_hi_g-0001_stack_wcs.fits	14	Mira-14	13.0762	0.0373	0.0048	06h08m03.315s	"23°57'51.599"""	304	456	503.31	226.3	0	120951	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
8	ngc2158_30_hi_g-0001_stack_wcs.fits	15	Mira-16	12.9098	0.0094	0.0044	06h08m00.136s	"24°00'38.895"""	359	712	499.713	247.7	0	140986	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
9	ngc2158_30_hi_g-0001_stack_wcs.fits	16	Mira-17	13.1625	0.0049	0.005	06h07m26.497s	"24°08'18.723"""	1025.895	1439.591	486.683	216.6	0	111710	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
10	ngc2158_30_hi_g-0001_stack_wcs.fits	17	Mira-18	13.0527	0.0047	0.0047	06h07m17.585s	"24°04'03.961"""	1227.771	1063.023	483.031	230	0	123606	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
